VSRR_Provisional_Drug_Overdose_Death_Counts
State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,July,Number of Deaths,"4,220",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Deaths,"4,222",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Deaths,"4,242",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Deaths,"4,241",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Deaths,"4,219",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Deaths,"4,193",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Deaths,"4,213",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Deaths,"4,198",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Deaths,"4,230",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Deaths,"4,262",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Deaths,"4,241",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Deaths,"4,261",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Deaths,"4,269",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Deaths,"4,276",,100,0.0233863423760524,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Deaths,"4,256",,100,0.0469924812030075,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Deaths,"4,291",,100,0.0699137730132836,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Deaths,"4,289",,100,0.0699463744462579,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Deaths,"4,355",,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Deaths,"4,374",,100,0.0685871056241426,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Deaths,"4,347",,100,0.0690131124913734,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Deaths,"4,359",,100,0.0688231245698555,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Deaths,"4,325",,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Deaths,"4,277",,100,0.0701426233341127,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Deaths,"4,276",,100,0.0701590271281572,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Deaths,"4,236",,100,0.0708215297450425,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Deaths,"4,234",,100,0.0472366556447803,Numbers may differ from published reports using final data. See Technical Notes.
NM,NM,2018,July,Number of Deaths,"18,164",,100,0.330323717242898,Underreported due to incomplete data.
OK,OK,2018,July,Number of Deaths,"39,951",,100,0.075091987684914,Underreported due to incomplete data.
AK,AK,2015,July,Number of Deaths,"4,220",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Deaths,"4,222",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
OR,OR,2018,February,Number of Deaths,"36,152",,100,0.0497897764992255,Underreported due to incomplete data.
OR,OR,2018,March,Number of Deaths,"36,276",,100,0.04686293968464,Underreported due to incomplete data.
AK,AK,2015,September,Number of Deaths,"4,242",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
OR,OR,2018,April,Number of Deaths,"36,351",,100,0.0467662512723171,Underreported due to incomplete data.
OR,OR,2018,May,Number of Deaths,"36,192",,100,0.0497347480106101,Underreported due to incomplete data.
OR,OR,2018,June,Number of Deaths,"36,294",,100,0.0523502507301482,Underreported due to incomplete data.
OR,OR,2018,July,Number of Deaths,"36,179",,100,0.0691008596146936,Underreported due to incomplete data.
AK,AK,2015,October,Number of Deaths,"4,241",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
PA,PA,2018,June,Number of Drug Overdose Deaths,"4,755","5,006",100,0.342255375164546,Underreported due to incomplete data.
PA,PA,2018,July,Number of Drug Overdose Deaths,"4,686","4,959",100,0.367044922788957,Underreported due to incomplete data.
AK,AK,2015,November,Number of Deaths,"4,219",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Deaths,"4,193",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Deaths,"4,213",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Deaths,"4,198",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
RI,RI,2018,June,Methadone (T40.3),26,29,100,0.56006179992275,Underreported due to incomplete data.
AK,AK,2016,March,Number of Deaths,"4,230",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Deaths,"4,262",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
RI,RI,2018,July,Methadone (T40.3),25,28,100,0.732318365773752,Underreported due to incomplete data.
RI,RI,2018,May,Percent with drugs specified,99.685534591195,,100,0.308731307284129,Underreported due to incomplete data.
AK,AK,2017,September,Number of Deaths,"4,299",,100,0.0232612235403582,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Deaths,"4,283",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Deaths,"4,308",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Deaths,"4,279",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Deaths,"4,260",,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Deaths,"4,304",,100,0,Underreported due to incomplete data.
RI,RI,2018,June,Percent with drugs specified,99.6677740863787,,100,0.56006179992275,Underreported due to incomplete data.
RI,RI,2018,July,Percent with drugs specified,99.3055555555556,,100,0.732318365773752,Underreported due to incomplete data.
SC,SC,2018,June,Methadone (T40.3),52,54,100,0.202967383141529,Underreported due to incomplete data.
AK,AK,2016,May,Number of Deaths,"4,241",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Deaths,"4,261",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Deaths,"4,269",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Deaths,"4,276",,100,0.0233863423760524,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Deaths,"4,256",,100,0.0469924812030075,Numbers may differ from published reports using final data. See Technical Notes.
SC,SC,2018,July,Methadone (T40.3),53,56,100,0.23538483391165,Underreported due to incomplete data.
SC,SC,2018,May,Percent with drugs specified,98.2456140350877,,100,0.180183827995303,Underreported due to incomplete data.
SC,SC,2018,June,Percent with drugs specified,98.3251231527094,,100,0.202967383141529,Underreported due to incomplete data.
SC,SC,2018,July,Percent with drugs specified,98.3414634146341,,100,0.23538483391165,Underreported due to incomplete data.
AK,AK,2016,October,Number of Deaths,"4,291",,100,0.0699137730132836,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Deaths,"4,289",,100,0.0699463744462579,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Deaths,"4,355",,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Deaths,"4,374",,100,0.0685871056241426,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Deaths,"4,347",,100,0.0690131124913734,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Deaths,"4,359",,100,0.0688231245698555,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Deaths,"4,325",,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Deaths,"4,277",,100,0.0701426233341127,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Deaths,"4,276",,100,0.0701590271281572,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Deaths,"4,236",,100,0.0708215297450425,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Deaths,"4,234",,100,0.0472366556447803,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Deaths,"4,299",,100,0.0232612235403582,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Deaths,"4,283",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Deaths,"4,308",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Deaths,"4,279",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Deaths,"4,260",,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Deaths,"4,304",,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Deaths,"4,286",,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Deaths,"4,341",,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Deaths,"4,351",,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Deaths,"4,307",,100,0,Underreported due to incomplete data.
AK,AK,2018,July,Number of Deaths,"4,333",,100,0,Underreported due to incomplete data.
AK,AK,2015,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Drug Overdose Deaths,127,128,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Drug Overdose Deaths,117,118,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Drug Overdose Deaths,124,125,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Drug Overdose Deaths,120,121,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Drug Overdose Deaths,115,116,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Drug Overdose Deaths,128,129,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Drug Overdose Deaths,132,133,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Drug Overdose Deaths,140,141,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Drug Overdose Deaths,143,144,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Drug Overdose Deaths,138,139,100,0.0233863423760524,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Drug Overdose Deaths,131,133,100,0.0469924812030075,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Drug Overdose Deaths,131,133,100,0.0699137730132836,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Drug Overdose Deaths,133,135,100,0.0699463744462579,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Drug Overdose Deaths,126,128,100,0.0685871056241426,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Drug Overdose Deaths,124,126,100,0.0690131124913734,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Drug Overdose Deaths,126,128,100,0.0688231245698555,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Drug Overdose Deaths,120,122,100,0.0701426233341127,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Drug Overdose Deaths,122,124,100,0.0701590271281572,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Drug Overdose Deaths,128,130,100,0.0708215297450425,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Drug Overdose Deaths,137,139,100,0.0472366556447803,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Drug Overdose Deaths,148,149,100,0.0232612235403582,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Drug Overdose Deaths,144,145,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Drug Overdose Deaths,141,142,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Drug Overdose Deaths,135,136,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Drug Overdose Deaths,141,142,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Drug Overdose Deaths,125,126,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Drug Overdose Deaths,124,125,100,0,Underreported due to incomplete data.
AK,AK,2018,July,Number of Drug Overdose Deaths,115,116,100,0,Underreported due to incomplete data.
AL,AL,2015,January,Number of Deaths,"49,543",,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Deaths,"50,004",,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Deaths,"50,486",,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Deaths,"50,565",,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Deaths,"50,516",,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Deaths,"50,658",,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Deaths,"50,841",,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Deaths,"50,930",,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Deaths,"51,044",,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Deaths,"51,091",,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Deaths,"51,093",,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Deaths,"50,870",,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Deaths,"50,534",,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Deaths,"50,555",,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Deaths,"50,348",,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Deaths,"50,391",,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Deaths,"50,511",,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Deaths,"50,613",,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Deaths,"50,683",,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Deaths,"50,756",,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Deaths,"50,810",,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Deaths,"50,869",,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Deaths,"51,110",,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Deaths,"51,431",,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Deaths,"51,652",,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Deaths,"51,542",,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Deaths,"51,668",,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Deaths,"51,794",,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Deaths,"51,943",,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Deaths,"52,000",,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Deaths,"52,035",,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Deaths,"52,075",,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Deaths,"52,232",,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Deaths,"52,267",,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Deaths,"52,254",,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Deaths,"52,307",,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Deaths,"53,105",,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Deaths,"53,272",,100,0.161435650998648,Underreported due to incomplete data.
AL,AL,2018,March,Number of Deaths,"53,222",,100,0.169103002517756,Underreported due to incomplete data.
AL,AL,2018,April,Number of Deaths,"53,239",,100,0.180318939123575,Underreported due to incomplete data.
AL,AL,2018,May,Number of Deaths,"53,273",,100,0.206483584555028,Underreported due to incomplete data.
AL,AL,2018,June,Number of Deaths,"53,353",,100,0.217419826439001,Underreported due to incomplete data.
AL,AL,2018,July,Number of Deaths,"53,445",,100,0.237627467489943,Underreported due to incomplete data.
AL,AL,2015,January,Number of Drug Overdose Deaths,715,751,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Drug Overdose Deaths,723,758,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Drug Overdose Deaths,733,767,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Drug Overdose Deaths,738,773,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Drug Overdose Deaths,755,791,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Drug Overdose Deaths,756,795,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Drug Overdose Deaths,743,780,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Drug Overdose Deaths,736,773,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Drug Overdose Deaths,744,780,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Drug Overdose Deaths,730,764,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Drug Overdose Deaths,725,757,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Drug Overdose Deaths,720,754,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Drug Overdose Deaths,706,738,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Drug Overdose Deaths,710,740,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Drug Overdose Deaths,681,710,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Drug Overdose Deaths,676,705,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Drug Overdose Deaths,654,682,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Drug Overdose Deaths,674,701,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Drug Overdose Deaths,681,710,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Drug Overdose Deaths,685,712,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Drug Overdose Deaths,695,723,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Drug Overdose Deaths,704,734,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Drug Overdose Deaths,718,748,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Drug Overdose Deaths,740,770,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Drug Overdose Deaths,763,793,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Drug Overdose Deaths,759,788,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Drug Overdose Deaths,794,824,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Drug Overdose Deaths,795,823,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Drug Overdose Deaths,812,838,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Drug Overdose Deaths,804,829,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Drug Overdose Deaths,809,832,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Drug Overdose Deaths,808,831,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Drug Overdose Deaths,800,821,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Drug Overdose Deaths,801,821,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Drug Overdose Deaths,799,819,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Drug Overdose Deaths,807,825,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Drug Overdose Deaths,786,800,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Drug Overdose Deaths,797,815,100,0.161435650998648,Underreported due to incomplete data.
AL,AL,2018,March,Number of Drug Overdose Deaths,782,803,100,0.169103002517756,Underreported due to incomplete data.
AL,AL,2018,April,Number of Drug Overdose Deaths,780,801,100,0.180318939123575,Underreported due to incomplete data.
AL,AL,2018,May,Number of Drug Overdose Deaths,783,808,100,0.206483584555028,Underreported due to incomplete data.
AL,AL,2018,June,Number of Drug Overdose Deaths,760,787,100,0.217419826439001,Underreported due to incomplete data.
AL,AL,2018,July,Number of Drug Overdose Deaths,753,783,100,0.237627467489943,Underreported due to incomplete data.
AR,AR,2015,January,Number of Deaths,"30,122",,100,0.0497974902064936,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,February,Number of Deaths,"30,332",,100,0.0461558749835158,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,March,Number of Deaths,"30,387",,100,0.046072333563695,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,April,Number of Deaths,"30,444",,100,0.0394166338194718,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,May,Number of Deaths,"30,602",,100,0.0424808836023789,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,June,Number of Deaths,"30,722",,100,0.0423149534535512,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,July,Number of Deaths,"30,685",,100,0.0488838194557601,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,August,Number of Deaths,"30,884",,100,0.0485688382333895,Numbers may differ from published reports using final data. See Technical Notes.
