Organization legal name or 'doing business as' name,Group PAC ID,State,Measure Identifier,Measure Title,Measure Performance Rate,Denominator Count,Footnote
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_10,Between visit communication.,60,230,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_12,Attention to patient medicine cost.,26,351,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_2,How well clinicians communicate.,79,361,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_3,Patients' rating of clinicians.,75,349,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_5,Health promotion and education.,63,376,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_8,Courteous and helpful office staff.,87,351,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_9,Clinicians working together for your care.,79,374,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,340,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_10,Between visit communication.,56,219,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_12,Attention to patient medicine cost.,33,360,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_2,How well clinicians communicate.,83,340,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_3,Patients' rating of clinicians.,82,322,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_5,Health promotion and education.,63,374,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_8,Courteous and helpful office staff.,84,325,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_9,Clinicians working together for your care.,74,369,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",54,203,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_10,Between visit communication.,50,145,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_12,Attention to patient medicine cost.,20,218,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_2,How well clinicians communicate.,,,4
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_3,Patients' rating of clinicians.,74,193,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_5,Health promotion and education.,62,226,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_8,Courteous and helpful office staff.,80,194,
ROCHESTER GENERAL HOSPITAL,0244149474,NY,CAHPS_GRP_9,Clinicians working together for your care.,71,232,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",69,300,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_10,Between visit communication.,57,186,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_12,Attention to patient medicine cost.,30,309,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_2,How well clinicians communicate.,87,300,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_3,Patients' rating of clinicians.,85,287,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_5,Health promotion and education.,61,318,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_8,Courteous and helpful office staff.,85,287,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_9,Clinicians working together for your care.,77,316,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,302,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_10,Between visit communication.,49,190,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_12,Attention to patient medicine cost.,35,308,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_2,How well clinicians communicate.,85,304,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_3,Patients' rating of clinicians.,85,300,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_5,Health promotion and education.,57,315,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_8,Courteous and helpful office staff.,76,298,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_9,Clinicians working together for your care.,73,321,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,239,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_10,Between visit communication.,56,161,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_12,Attention to patient medicine cost.,32,257,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_2,How well clinicians communicate.,86,239,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_3,Patients' rating of clinicians.,86,223,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_5,Health promotion and education.,64,279,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_8,Courteous and helpful office staff.,90,224,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_9,Clinicians working together for your care.,78,275,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",56,339,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_10,Between visit communication.,61,229,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_12,Attention to patient medicine cost.,27,359,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_2,How well clinicians communicate.,85,341,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_3,Patients' rating of clinicians.,84,328,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_5,Health promotion and education.,60,377,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_8,Courteous and helpful office staff.,85,330,
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,0345152443,WI,CAHPS_GRP_9,Clinicians working together for your care.,81,372,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,333,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_10,Between visit communication.,62,192,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_12,Attention to patient medicine cost.,35,336,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_2,How well clinicians communicate.,83,335,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_3,Patients' rating of clinicians.,81,327,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_5,Health promotion and education.,61,361,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_8,Courteous and helpful office staff.,86,330,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_9,Clinicians working together for your care.,76,365,
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_10,Between visit communication.,,,4
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_12,Attention to patient medicine cost.,21,169,
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_2,How well clinicians communicate.,,,4
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_5,Health promotion and education.,58,202,
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_8,Courteous and helpful office staff.,,,4
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,0345287322,AZ,CAHPS_GRP_9,Clinicians working together for your care.,,,4
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",64,221,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_10,Between visit communication.,58,171,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_12,Attention to patient medicine cost.,36,246,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_2,How well clinicians communicate.,86,221,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_3,Patients' rating of clinicians.,89,205,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_5,Health promotion and education.,64,255,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_8,Courteous and helpful office staff.,83,207,
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",0345321691,GA,CAHPS_GRP_9,Clinicians working together for your care.,80,254,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,247,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_10,Between visit communication.,63,151,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_12,Attention to patient medicine cost.,27,255,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_2,How well clinicians communicate.,81,249,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_3,Patients' rating of clinicians.,81,248,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_5,Health promotion and education.,61,273,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_8,Courteous and helpful office staff.,68,249,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_9,Clinicians working together for your care.,72,277,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",58,350,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_10,Between visit communication.,58,227,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_12,Attention to patient medicine cost.,25,343,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_2,How well clinicians communicate.,82,351,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_3,Patients' rating of clinicians.,75,340,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_5,Health promotion and education.,60,366,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_8,Courteous and helpful office staff.,81,342,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_9,Clinicians working together for your care.,71,362,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",57,270,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_10,Between visit communication.,54,193,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_12,Attention to patient medicine cost.,28,282,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_2,How well clinicians communicate.,85,272,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_3,Patients' rating of clinicians.,85,272,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_5,Health promotion and education.,50,297,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_8,Courteous and helpful office staff.,83,272,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_9,Clinicians working together for your care.,76,297,
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,164,
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_10,Between visit communication.,65,119,
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_12,Attention to patient medicine cost.,,,4
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_2,How well clinicians communicate.,77,164,
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_5,Health promotion and education.,72,177,
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_8,Courteous and helpful office staff.,79,167,
HOLLAND COMMUNITY HOSPITAL,0446157291,MI,CAHPS_GRP_9,Clinicians working together for your care.,74,179,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",64,217,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_10,Between visit communication.,55,121,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_12,Attention to patient medicine cost.,26,234,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_2,How well clinicians communicate.,85,218,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_3,Patients' rating of clinicians.,89,200,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_5,Health promotion and education.,58,248,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_8,Courteous and helpful office staff.,80,199,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_9,Clinicians working together for your care.,77,242,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",72,278,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_10,Between visit communication.,56,176,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_12,Attention to patient medicine cost.,25,289,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_2,How well clinicians communicate.,85,279,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_3,Patients' rating of clinicians.,84,279,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_5,Health promotion and education.,69,308,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_8,Courteous and helpful office staff.,81,280,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_9,Clinicians working together for your care.,75,304,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,214,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_10,Between visit communication.,61,129,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_12,Attention to patient medicine cost.,26,232,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_2,How well clinicians communicate.,87,214,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_3,Patients' rating of clinicians.,86,199,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_5,Health promotion and education.,62,249,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_8,Courteous and helpful office staff.,84,200,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_9,Clinicians working together for your care.,82,244,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,368,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_10,Between visit communication.,57,249,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_12,Attention to patient medicine cost.,32,357,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_2,How well clinicians communicate.,81,368,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_3,Patients' rating of clinicians.,78,364,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_5,Health promotion and education.,54,381,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_8,Courteous and helpful office staff.,82,363,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_9,Clinicians working together for your care.,78,384,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_1,"Getting timely care, appointments, and information.",69,346,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_10,Between visit communication.,56,250,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_12,Attention to patient medicine cost.,39,354,
