Group Name,Group PAC ID,Measure Performance Rate,Measure Title,State,Year
"ENCOMPASS MEDICAL GROUP, PA",143116053,77.0,Courteous and helpful office staff.,MO,2016
"ENCOMPASS MEDICAL GROUP, PA",143116053,75.0,Clinicians working together for your care.,MO,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,50.0,"Getting timely care, appointments, and information.",AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,57.0,Between visit communication.,AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,26.0,Attention to patient medicine cost.,AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,76.0,How well clinicians communicate.,AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,67.0,Patients' rating of clinicians.,AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,49.0,Health promotion and education.,AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,86.0,Courteous and helpful office staff.,AR,2016
WHITE RIVER HEALTH SYSTEM INC,143134270,63.0,Clinicians working together for your care.,AR,2016
CAROLINAEAST PHYSICIANS,143378117,66.0,"Getting timely care, appointments, and information.",NC,2016
CAROLINAEAST PHYSICIANS,143378117,52.0,Between visit communication.,NC,2016
CAROLINAEAST PHYSICIANS,143378117,22.0,Attention to patient medicine cost.,NC,2016
CAROLINAEAST PHYSICIANS,143378117,83.0,How well clinicians communicate.,NC,2016
CAROLINAEAST PHYSICIANS,143378117,83.0,Patients' rating of clinicians.,NC,2016
CAROLINAEAST PHYSICIANS,143378117,58.0,Health promotion and education.,NC,2016
CAROLINAEAST PHYSICIANS,143378117,88.0,Courteous and helpful office staff.,NC,2016
CAROLINAEAST PHYSICIANS,143378117,75.0,Clinicians working together for your care.,NC,2016
FAMILY PRACTICE CENTER PC,244124212,67.0,"Getting timely care, appointments, and information.",PA,2016
FAMILY PRACTICE CENTER PC,244124212,58.0,Between visit communication.,PA,2016
FAMILY PRACTICE CENTER PC,244124212,24.0,Attention to patient medicine cost.,PA,2016
FAMILY PRACTICE CENTER PC,244124212,85.0,How well clinicians communicate.,PA,2016
FAMILY PRACTICE CENTER PC,244124212,84.0,Patients' rating of clinicians.,PA,2016
FAMILY PRACTICE CENTER PC,244124212,61.0,Health promotion and education.,PA,2016
FAMILY PRACTICE CENTER PC,244124212,84.0,Courteous and helpful office staff.,PA,2016
FAMILY PRACTICE CENTER PC,244124212,80.0,Clinicians working together for your care.,PA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,65.0,"Getting timely care, appointments, and information.",MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,51.0,Between visit communication.,MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,26.0,Attention to patient medicine cost.,MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,85.0,How well clinicians communicate.,MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,83.0,Patients' rating of clinicians.,MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,69.0,Health promotion and education.,MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,81.0,Courteous and helpful office staff.,MA,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,79.0,Clinicians working together for your care.,MA,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,55.0,"Getting timely care, appointments, and information.",MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,62.0,Between visit communication.,MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,28.0,Attention to patient medicine cost.,MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,83.0,How well clinicians communicate.,MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,80.0,Patients' rating of clinicians.,MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,68.0,Health promotion and education.,MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,79.0,Courteous and helpful office staff.,MI,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,74.0,Clinicians working together for your care.,MI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,53.0,"Getting timely care, appointments, and information.",WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,51.0,Between visit communication.,WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,24.0,Attention to patient medicine cost.,WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,77.0,How well clinicians communicate.,WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,76.0,Patients' rating of clinicians.,WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,66.0,Health promotion and education.,WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,79.0,Courteous and helpful office staff.,WI,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,74.0,Clinicians working together for your care.,WI,2016
SANFORD CLINIC,244143824,65.0,"Getting timely care, appointments, and information.",SD,2016
SANFORD CLINIC,244143824,60.0,Between visit communication.,SD,2016
SANFORD CLINIC,244143824,26.0,Attention to patient medicine cost.,SD,2016
SANFORD CLINIC,244143824,79.0,How well clinicians communicate.,SD,2016
SANFORD CLINIC,244143824,75.0,Patients' rating of clinicians.,SD,2016
SANFORD CLINIC,244143824,63.0,Health promotion and education.,SD,2016
SANFORD CLINIC,244143824,87.0,Courteous and helpful office staff.,SD,2016
SANFORD CLINIC,244143824,79.0,Clinicians working together for your care.,SD,2016
COVENANT MEDICAL CENTER INC,244148732,61.0,"Getting timely care, appointments, and information.",IA,2016
COVENANT MEDICAL CENTER INC,244148732,56.0,Between visit communication.,IA,2016
COVENANT MEDICAL CENTER INC,244148732,33.0,Attention to patient medicine cost.,IA,2016
COVENANT MEDICAL CENTER INC,244148732,83.0,How well clinicians communicate.,IA,2016
COVENANT MEDICAL CENTER INC,244148732,82.0,Patients' rating of clinicians.,IA,2016
COVENANT MEDICAL CENTER INC,244148732,63.0,Health promotion and education.,IA,2016
COVENANT MEDICAL CENTER INC,244148732,84.0,Courteous and helpful office staff.,IA,2016
COVENANT MEDICAL CENTER INC,244148732,74.0,Clinicians working together for your care.,IA,2016
ROCHESTER GENERAL HOSPITAL,244149474,54.0,"Getting timely care, appointments, and information.",NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,50.0,Between visit communication.,NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,20.0,Attention to patient medicine cost.,NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,,How well clinicians communicate.,NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,74.0,Patients' rating of clinicians.,NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,62.0,Health promotion and education.,NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,80.0,Courteous and helpful office staff.,NY,2016
ROCHESTER GENERAL HOSPITAL,244149474,71.0,Clinicians working together for your care.,NY,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,69.0,"Getting timely care, appointments, and information.",OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,57.0,Between visit communication.,OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,30.0,Attention to patient medicine cost.,OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,87.0,How well clinicians communicate.,OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,85.0,Patients' rating of clinicians.,OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,61.0,Health promotion and education.,OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,85.0,Courteous and helpful office staff.,OH,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,77.0,Clinicians working together for your care.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,59.0,"Getting timely care, appointments, and information.",OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,49.0,Between visit communication.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,35.0,Attention to patient medicine cost.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,85.0,How well clinicians communicate.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,85.0,Patients' rating of clinicians.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,57.0,Health promotion and education.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,76.0,Courteous and helpful office staff.,OH,2016
"UNITY HEALTH NETWORK, LLC",244379717,73.0,Clinicians working together for your care.,OH,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,63.0,"Getting timely care, appointments, and information.",FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,56.0,Between visit communication.,FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,32.0,Attention to patient medicine cost.,FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,86.0,How well clinicians communicate.,FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,86.0,Patients' rating of clinicians.,FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,64.0,Health promotion and education.,FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,90.0,Courteous and helpful office staff.,FL,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,78.0,Clinicians working together for your care.,FL,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,56.0,"Getting timely care, appointments, and information.",WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,61.0,Between visit communication.,WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,27.0,Attention to patient medicine cost.,WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,85.0,How well clinicians communicate.,WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,84.0,Patients' rating of clinicians.,WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,60.0,Health promotion and education.,WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,85.0,Courteous and helpful office staff.,WI,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,81.0,Clinicians working together for your care.,WI,2016
AVERA MCKENNAN,345157103,61.0,"Getting timely care, appointments, and information.",SD,2016
AVERA MCKENNAN,345157103,62.0,Between visit communication.,SD,2016
AVERA MCKENNAN,345157103,35.0,Attention to patient medicine cost.,SD,2016
AVERA MCKENNAN,345157103,83.0,How well clinicians communicate.,SD,2016
AVERA MCKENNAN,345157103,81.0,Patients' rating of clinicians.,SD,2016
AVERA MCKENNAN,345157103,61.0,Health promotion and education.,SD,2016
AVERA MCKENNAN,345157103,86.0,Courteous and helpful office staff.,SD,2016
AVERA MCKENNAN,345157103,76.0,Clinicians working together for your care.,SD,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,,"Getting timely care, appointments, and information.",AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,,Between visit communication.,AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,21.0,Attention to patient medicine cost.,AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,,How well clinicians communicate.,AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,,Patients' rating of clinicians.,AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,58.0,Health promotion and education.,AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,,Courteous and helpful office staff.,AZ,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,,Clinicians working together for your care.,AZ,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,64.0,"Getting timely care, appointments, and information.",GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,58.0,Between visit communication.,GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,36.0,Attention to patient medicine cost.,GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,86.0,How well clinicians communicate.,GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,89.0,Patients' rating of clinicians.,GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,64.0,Health promotion and education.,GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,83.0,Courteous and helpful office staff.,GA,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,80.0,Clinicians working together for your care.,GA,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,55.0,"Getting timely care, appointments, and information.",FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,63.0,Between visit communication.,FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,27.0,Attention to patient medicine cost.,FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,81.0,How well clinicians communicate.,FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,81.0,Patients' rating of clinicians.,FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,61.0,Health promotion and education.,FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,68.0,Courteous and helpful office staff.,FL,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,72.0,Clinicians working together for your care.,FL,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,58.0,"Getting timely care, appointments, and information.",CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,58.0,Between visit communication.,CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,25.0,Attention to patient medicine cost.,CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,82.0,How well clinicians communicate.,CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,75.0,Patients' rating of clinicians.,CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,60.0,Health promotion and education.,CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,81.0,Courteous and helpful office staff.,CA,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,71.0,Clinicians working together for your care.,CA,2016
"HARBIN CLINIC, LLC",446154231,57.0,"Getting timely care, appointments, and information.",GA,2016
"HARBIN CLINIC, LLC",446154231,54.0,Between visit communication.,GA,2016
"HARBIN CLINIC, LLC",446154231,28.0,Attention to patient medicine cost.,GA,2016
"HARBIN CLINIC, LLC",446154231,85.0,How well clinicians communicate.,GA,2016
"HARBIN CLINIC, LLC",446154231,85.0,Patients' rating of clinicians.,GA,2016
"HARBIN CLINIC, LLC",446154231,50.0,Health promotion and education.,GA,2016
"HARBIN CLINIC, LLC",446154231,83.0,Courteous and helpful office staff.,GA,2016
"HARBIN CLINIC, LLC",446154231,76.0,Clinicians working together for your care.,GA,2016
HOLLAND COMMUNITY HOSPITAL,446157291,60.0,"Getting timely care, appointments, and information.",MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,65.0,Between visit communication.,MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,,Attention to patient medicine cost.,MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,77.0,How well clinicians communicate.,MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,,Patients' rating of clinicians.,MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,72.0,Health promotion and education.,MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,79.0,Courteous and helpful office staff.,MI,2016
HOLLAND COMMUNITY HOSPITAL,446157291,74.0,Clinicians working together for your care.,MI,2016
USC CARE MEDICAL GROUP INC,446157747,64.0,"Getting timely care, appointments, and information.",CA,2016
USC CARE MEDICAL GROUP INC,446157747,55.0,Between visit communication.,CA,2016
USC CARE MEDICAL GROUP INC,446157747,26.0,Attention to patient medicine cost.,CA,2016
USC CARE MEDICAL GROUP INC,446157747,85.0,How well clinicians communicate.,CA,2016
USC CARE MEDICAL GROUP INC,446157747,89.0,Patients' rating of clinicians.,CA,2016
USC CARE MEDICAL GROUP INC,446157747,58.0,Health promotion and education.,CA,2016
USC CARE MEDICAL GROUP INC,446157747,80.0,Courteous and helpful office staff.,CA,2016
USC CARE MEDICAL GROUP INC,446157747,77.0,Clinicians working together for your care.,CA,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,72.0,"Getting timely care, appointments, and information.",RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,56.0,Between visit communication.,RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,25.0,Attention to patient medicine cost.,RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,85.0,How well clinicians communicate.,RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,84.0,Patients' rating of clinicians.,RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,69.0,Health promotion and education.,RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,81.0,Courteous and helpful office staff.,RI,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,75.0,Clinicians working together for your care.,RI,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,60.0,"Getting timely care, appointments, and information.",WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,61.0,Between visit communication.,WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,26.0,Attention to patient medicine cost.,WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,87.0,How well clinicians communicate.,WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,86.0,Patients' rating of clinicians.,WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,62.0,Health promotion and education.,WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,84.0,Courteous and helpful office staff.,WA,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,82.0,Clinicians working together for your care.,WA,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,61.0,"Getting timely care, appointments, and information.",KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,57.0,Between visit communication.,KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,32.0,Attention to patient medicine cost.,KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,81.0,How well clinicians communicate.,KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,78.0,Patients' rating of clinicians.,KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,54.0,Health promotion and education.,KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,82.0,Courteous and helpful office staff.,KS,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,78.0,Clinicians working together for your care.,KS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,69.0,"Getting timely care, appointments, and information.",MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,56.0,Between visit communication.,MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,39.0,Attention to patient medicine cost.,MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,88.0,How well clinicians communicate.,MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,87.0,Patients' rating of clinicians.,MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,61.0,Health promotion and education.,MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,84.0,Courteous and helpful office staff.,MS,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,81.0,Clinicians working together for your care.,MS,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,,"Getting timely care, appointments, and information.",CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,53.0,Between visit communication.,CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,21.0,Attention to patient medicine cost.,CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,73.0,How well clinicians communicate.,CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,69.0,Patients' rating of clinicians.,CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,48.0,Health promotion and education.,CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,76.0,Courteous and helpful office staff.,CA,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,65.0,Clinicians working together for your care.,CA,2016
HENRY FORD MEDICAL GROUP,547178311,47.0,"Getting timely care, appointments, and information.",MI,2016
HENRY FORD MEDICAL GROUP,547178311,62.0,Between visit communication.,MI,2016
HENRY FORD MEDICAL GROUP,547178311,24.0,Attention to patient medicine cost.,MI,2016
HENRY FORD MEDICAL GROUP,547178311,81.0,How well clinicians communicate.,MI,2016
HENRY FORD MEDICAL GROUP,547178311,79.0,Patients' rating of clinicians.,MI,2016
HENRY FORD MEDICAL GROUP,547178311,61.0,Health promotion and education.,MI,2016
HENRY FORD MEDICAL GROUP,547178311,76.0,Courteous and helpful office staff.,MI,2016
HENRY FORD MEDICAL GROUP,547178311,76.0,Clinicians working together for your care.,MI,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,55.0,"Getting timely care, appointments, and information.",TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,52.0,Between visit communication.,TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,35.0,Attention to patient medicine cost.,TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,86.0,How well clinicians communicate.,TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,87.0,Patients' rating of clinicians.,TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,63.0,Health promotion and education.,TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,82.0,Courteous and helpful office staff.,TN,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,77.0,Clinicians working together for your care.,TN,2016
BAPTIST PRIMARY CARE INC,648177733,60.0,"Getting timely care, appointments, and information.",FL,2016
BAPTIST PRIMARY CARE INC,648177733,59.0,Between visit communication.,FL,2016
BAPTIST PRIMARY CARE INC,648177733,36.0,Attention to patient medicine cost.,FL,2016
BAPTIST PRIMARY CARE INC,648177733,85.0,How well clinicians communicate.,FL,2016
BAPTIST PRIMARY CARE INC,648177733,84.0,Patients' rating of clinicians.,FL,2016
BAPTIST PRIMARY CARE INC,648177733,66.0,Health promotion and education.,FL,2016
BAPTIST PRIMARY CARE INC,648177733,88.0,Courteous and helpful office staff.,FL,2016
BAPTIST PRIMARY CARE INC,648177733,77.0,Clinicians working together for your care.,FL,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,61.0,"Getting timely care, appointments, and information.",VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,67.0,Between visit communication.,VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,32.0,Attention to patient medicine cost.,VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,84.0,How well clinicians communicate.,VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,85.0,Patients' rating of clinicians.,VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,67.0,Health promotion and education.,VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,80.0,Courteous and helpful office staff.,VA,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,77.0,Clinicians working together for your care.,VA,2016
HOLY FAMILY MEMORIAL INC,648183160,61.0,"Getting timely care, appointments, and information.",WI,2016
HOLY FAMILY MEMORIAL INC,648183160,53.0,Between visit communication.,WI,2016
HOLY FAMILY MEMORIAL INC,648183160,23.0,Attention to patient medicine cost.,WI,2016
HOLY FAMILY MEMORIAL INC,648183160,78.0,How well clinicians communicate.,WI,2016
HOLY FAMILY MEMORIAL INC,648183160,74.0,Patients' rating of clinicians.,WI,2016
HOLY FAMILY MEMORIAL INC,648183160,64.0,Health promotion and education.,WI,2016
HOLY FAMILY MEMORIAL INC,648183160,85.0,Courteous and helpful office staff.,WI,2016
HOLY FAMILY MEMORIAL INC,648183160,75.0,Clinicians working together for your care.,WI,2016
