Group Name,Group PAC ID,State,Measure Title,Measure Performance Rate,Year
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Health promotion and education.,69.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Courteous and helpful office staff.,81.0,2016
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",244133494,MA,Clinicians working together for your care.,79.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,"Getting timely care, appointments, and information.",55.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Between visit communication.,62.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Attention to patient medicine cost.,28.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,How well clinicians communicate.,83.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Patients' rating of clinicians.,80.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Health promotion and education.,68.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Courteous and helpful office staff.,79.0,2016
W A FOOTE MEMORIAL HOSPITAL INC,244136067,MI,Clinicians working together for your care.,74.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,"Getting timely care, appointments, and information.",53.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Between visit communication.,51.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Attention to patient medicine cost.,24.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,How well clinicians communicate.,77.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Patients' rating of clinicians.,76.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Health promotion and education.,66.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Courteous and helpful office staff.,79.0,2016
"NETWORK HEALTH SYSTEM, INC.",244142420,WI,Clinicians working together for your care.,74.0,2016
SANFORD CLINIC,244143824,SD,"Getting timely care, appointments, and information.",65.0,2016
SANFORD CLINIC,244143824,SD,Between visit communication.,60.0,2016
SANFORD CLINIC,244143824,SD,Attention to patient medicine cost.,26.0,2016
SANFORD CLINIC,244143824,SD,How well clinicians communicate.,79.0,2016
SANFORD CLINIC,244143824,SD,Patients' rating of clinicians.,75.0,2016
SANFORD CLINIC,244143824,SD,Health promotion and education.,63.0,2016
SANFORD CLINIC,244143824,SD,Courteous and helpful office staff.,87.0,2016
SANFORD CLINIC,244143824,SD,Clinicians working together for your care.,79.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,"Getting timely care, appointments, and information.",61.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,Between visit communication.,56.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,Attention to patient medicine cost.,33.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,How well clinicians communicate.,83.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,Patients' rating of clinicians.,82.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,Health promotion and education.,63.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,Courteous and helpful office staff.,84.0,2016
COVENANT MEDICAL CENTER INC,244148732,IA,Clinicians working together for your care.,74.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,"Getting timely care, appointments, and information.",54.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,Between visit communication.,50.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,Attention to patient medicine cost.,20.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,How well clinicians communicate.,,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,Patients' rating of clinicians.,74.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,Health promotion and education.,62.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,Courteous and helpful office staff.,80.0,2016
ROCHESTER GENERAL HOSPITAL,244149474,NY,Clinicians working together for your care.,71.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,"Getting timely care, appointments, and information.",69.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,Between visit communication.,57.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,Attention to patient medicine cost.,30.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,How well clinicians communicate.,87.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,Patients' rating of clinicians.,85.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,Health promotion and education.,61.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,Courteous and helpful office staff.,85.0,2016
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",244314102,OH,Clinicians working together for your care.,77.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,"Getting timely care, appointments, and information.",59.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,Between visit communication.,49.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,Attention to patient medicine cost.,35.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,How well clinicians communicate.,85.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,Patients' rating of clinicians.,85.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,Health promotion and education.,57.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,Courteous and helpful office staff.,76.0,2016
"UNITY HEALTH NETWORK, LLC",244379717,OH,Clinicians working together for your care.,73.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,"Getting timely care, appointments, and information.",63.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,Between visit communication.,56.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,Attention to patient medicine cost.,32.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,How well clinicians communicate.,86.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,Patients' rating of clinicians.,86.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,Health promotion and education.,64.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,Courteous and helpful office staff.,90.0,2016
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,345146254,FL,Clinicians working together for your care.,78.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,"Getting timely care, appointments, and information.",56.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,Between visit communication.,61.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,Attention to patient medicine cost.,27.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,How well clinicians communicate.,85.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,Patients' rating of clinicians.,84.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,Health promotion and education.,60.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,Courteous and helpful office staff.,85.0,2016
MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER INC,345152443,WI,Clinicians working together for your care.,81.0,2016
AVERA MCKENNAN,345157103,SD,"Getting timely care, appointments, and information.",61.0,2016
AVERA MCKENNAN,345157103,SD,Between visit communication.,62.0,2016
AVERA MCKENNAN,345157103,SD,Attention to patient medicine cost.,35.0,2016
AVERA MCKENNAN,345157103,SD,How well clinicians communicate.,83.0,2016
AVERA MCKENNAN,345157103,SD,Patients' rating of clinicians.,81.0,2016
AVERA MCKENNAN,345157103,SD,Health promotion and education.,61.0,2016
AVERA MCKENNAN,345157103,SD,Courteous and helpful office staff.,86.0,2016
AVERA MCKENNAN,345157103,SD,Clinicians working together for your care.,76.0,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,"Getting timely care, appointments, and information.",,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,Between visit communication.,,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,Attention to patient medicine cost.,21.0,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,How well clinicians communicate.,,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,Patients' rating of clinicians.,,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,Health promotion and education.,58.0,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,Courteous and helpful office staff.,,2016
CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION INC,345287322,AZ,Clinicians working together for your care.,,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,"Getting timely care, appointments, and information.",64.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,Between visit communication.,58.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,Attention to patient medicine cost.,36.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,How well clinicians communicate.,86.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,Patients' rating of clinicians.,89.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,Health promotion and education.,64.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,Courteous and helpful office staff.,83.0,2016
"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",345321691,GA,Clinicians working together for your care.,80.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,"Getting timely care, appointments, and information.",55.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,Between visit communication.,63.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,Attention to patient medicine cost.,27.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,How well clinicians communicate.,81.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,Patients' rating of clinicians.,81.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,Health promotion and education.,61.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,Courteous and helpful office staff.,68.0,2016
TENET FLORIDA PHYSICIAN SERVICES LLC,345349478,FL,Clinicians working together for your care.,72.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,"Getting timely care, appointments, and information.",58.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,Between visit communication.,58.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,Attention to patient medicine cost.,25.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,How well clinicians communicate.,82.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,Patients' rating of clinicians.,75.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,Health promotion and education.,60.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,Courteous and helpful office staff.,81.0,2016
COMMUNITY FOUNDATION MEDICAL GROUP,345406294,CA,Clinicians working together for your care.,71.0,2016
"HARBIN CLINIC, LLC",446154231,GA,"Getting timely care, appointments, and information.",57.0,2016
"HARBIN CLINIC, LLC",446154231,GA,Between visit communication.,54.0,2016
"HARBIN CLINIC, LLC",446154231,GA,Attention to patient medicine cost.,28.0,2016
"HARBIN CLINIC, LLC",446154231,GA,How well clinicians communicate.,85.0,2016
"HARBIN CLINIC, LLC",446154231,GA,Patients' rating of clinicians.,85.0,2016
"HARBIN CLINIC, LLC",446154231,GA,Health promotion and education.,50.0,2016
"HARBIN CLINIC, LLC",446154231,GA,Courteous and helpful office staff.,83.0,2016
"HARBIN CLINIC, LLC",446154231,GA,Clinicians working together for your care.,76.0,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,"Getting timely care, appointments, and information.",60.0,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,Between visit communication.,65.0,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,Attention to patient medicine cost.,,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,How well clinicians communicate.,77.0,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,Patients' rating of clinicians.,,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,Health promotion and education.,72.0,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,Courteous and helpful office staff.,79.0,2016
HOLLAND COMMUNITY HOSPITAL,446157291,MI,Clinicians working together for your care.,74.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,"Getting timely care, appointments, and information.",64.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,Between visit communication.,55.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,Attention to patient medicine cost.,26.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,How well clinicians communicate.,85.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,Patients' rating of clinicians.,89.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,Health promotion and education.,58.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,Courteous and helpful office staff.,80.0,2016
USC CARE MEDICAL GROUP INC,446157747,CA,Clinicians working together for your care.,77.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,"Getting timely care, appointments, and information.",72.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,Between visit communication.,56.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,Attention to patient medicine cost.,25.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,How well clinicians communicate.,85.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,Patients' rating of clinicians.,84.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,Health promotion and education.,69.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,Courteous and helpful office staff.,81.0,2016
"UNIVERSITY MEDICINE FOUNDATION, INC.",446159776,RI,Clinicians working together for your care.,75.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,"Getting timely care, appointments, and information.",60.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,Between visit communication.,61.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,Attention to patient medicine cost.,26.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,How well clinicians communicate.,87.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,Patients' rating of clinicians.,86.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,Health promotion and education.,62.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,Courteous and helpful office staff.,84.0,2016
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,WA,Clinicians working together for your care.,82.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,"Getting timely care, appointments, and information.",61.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,Between visit communication.,57.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,Attention to patient medicine cost.,32.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,How well clinicians communicate.,81.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,Patients' rating of clinicians.,78.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,Health promotion and education.,54.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,Courteous and helpful office staff.,82.0,2016
SALINA REGIONAL HEALTH CENTER INC,446168215,KS,Clinicians working together for your care.,78.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,"Getting timely care, appointments, and information.",69.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,Between visit communication.,56.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,Attention to patient medicine cost.,39.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,How well clinicians communicate.,88.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,Patients' rating of clinicians.,87.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,Health promotion and education.,61.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,Courteous and helpful office staff.,84.0,2016
ST. DOMINIC MEDICAL ASSOCIATES LLC,446303168,MS,Clinicians working together for your care.,81.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,"Getting timely care, appointments, and information.",,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,Between visit communication.,53.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,Attention to patient medicine cost.,21.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,How well clinicians communicate.,73.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,Patients' rating of clinicians.,69.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,Health promotion and education.,48.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,Courteous and helpful office staff.,76.0,2016
"BEAVER MEDICAL GROUP, L.P.",547164295,CA,Clinicians working together for your care.,65.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,"Getting timely care, appointments, and information.",47.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,Between visit communication.,62.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,Attention to patient medicine cost.,24.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,How well clinicians communicate.,81.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,Patients' rating of clinicians.,79.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,Health promotion and education.,61.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,Courteous and helpful office staff.,76.0,2016
HENRY FORD MEDICAL GROUP,547178311,MI,Clinicians working together for your care.,76.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,"Getting timely care, appointments, and information.",55.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,Between visit communication.,52.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,Attention to patient medicine cost.,35.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,How well clinicians communicate.,86.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,Patients' rating of clinicians.,87.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,Health promotion and education.,63.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,Courteous and helpful office staff.,82.0,2016
CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,547179731,TN,Clinicians working together for your care.,77.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,"Getting timely care, appointments, and information.",60.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,Between visit communication.,59.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,Attention to patient medicine cost.,36.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,How well clinicians communicate.,85.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,Patients' rating of clinicians.,84.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,Health promotion and education.,66.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,Courteous and helpful office staff.,88.0,2016
BAPTIST PRIMARY CARE INC,648177733,FL,Clinicians working together for your care.,77.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,"Getting timely care, appointments, and information.",61.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,Between visit communication.,67.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,Attention to patient medicine cost.,32.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,How well clinicians communicate.,84.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,Patients' rating of clinicians.,85.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,Health promotion and education.,67.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,Courteous and helpful office staff.,80.0,2016
UNC PHYSICIANS AND ASSOCIATES,648181156,VA,Clinicians working together for your care.,77.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,"Getting timely care, appointments, and information.",61.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,Between visit communication.,53.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,Attention to patient medicine cost.,23.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,How well clinicians communicate.,78.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,Patients' rating of clinicians.,74.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,Health promotion and education.,64.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,Courteous and helpful office staff.,85.0,2016
HOLY FAMILY MEMORIAL INC,648183160,WI,Clinicians working together for your care.,75.0,2016
