NPI,Provider Last Name,Provider First Name,Zip Code,State,Specialty,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,PAC ID,Year
1003887001,MURPHY-FIENGO,MARY,6335.0,CT,Internal Medicine,7020.0,188.0,2.6780626781,8224170600.0,2016.0
1003889858,FARRELL,MICHAEL,15212.0,PA,Internal Medicine,5504.0,378.0,6.867732558099999,4385603372.0,2016.0
1003891672,KHERA,MAHENDRA,21784.0,MD,Psychiatry,945.0,0.0,0.0,446386056.0,2016.0
1003891813,FRELIER,STEVEN,23834.0,VA,Internal Medicine,471.0,35.0,7.4309978769,6709979503.0,2016.0
1003892225,SAEED,ALIYA,12047.0,NY,Psychiatry,1265.0,0.0,0.0,6204883481.0,2016.0
1003894429,RESNICK,JACK,10044.0,NY,Internal Medicine,4016.0,136.0,3.3864541832999997,2466584545.0,2016.0
1003905498,GJENVICK,TIMOTHY,8831.0,NJ,Internal Medicine,11013.0,339.0,3.0781803323,446276430.0,2016.0
1003909565,WRONA,MARK,4074.0,ME,Internal Medicine,440.0,186.0,42.272727273,3072599257.0,2016.0
1003914102,GOLDBERG,BRYAN,6010.0,CT,Emergency Medicine,159.0,42.0,26.41509434,749215713.0,2016.0
1003914573,ADLER,BRADLEY,10583.0,NY,Internal Medicine,6292.0,98.0,1.5575333756999998,5991897084.0,2016.0
1003915851,MCINTOSH,SALLY- ANN,24501.0,VA,Internal Medicine,280.0,20.0,7.1428571429,5193887214.0,2016.0
1003919655,RAO,NARAKANTI,92882.0,CA,Internal Medicine,14384.0,162.0,1.1262513904,3173664018.0,2016.0
1003927963,MAALA SARAO,NORMA,90503.0,CA,Internal Medicine,4119.0,59.0,1.4323865016,2062587538.0,2016.0
1003934043,GRITTON,RAYMOND,91106.0,CA,Physical Medicine and Rehabilitation,1162.0,118.0,10.154905336,7719927755.0,2016.0
1003939117,DUNCAN,GRAHAM,27377.0,NC,Family Practice,8456.0,356.0,4.2100283822,1355499187.0,2016.0
1003943416,BOND,JOHN,87114.0,NM,Family Practice,2433.0,28.0,1.1508425812,6204928518.0,2016.0
1003951500,RYAN,MATTHEW,73102.0,OK,Neurology,4154.0,67.0,1.6129032258000002,2961565155.0,2016.0
1003954397,TOWNSEND,BETH,17046.0,PA,Psychiatry,3105.0,0.0,0.0,1456457811.0,2016.0
1003956616,SUE-WAH-SING,CECIL,33573.0,FL,Internal Medicine,12439.0,231.0,1.8570624647999998,6709778871.0,2016.0
1003965385,BAILONY,FADI,45005.0,OH,Internal Medicine,4074.0,343.0,8.4192439863,6406818707.0,2016.0
1003979006,FIGUEROA-GORDIAN,JEANNETTE,34743.0,FL,General Practice,11886.0,62.0,0.5216220764,8628982204.0,2016.0
1003979188,BLISS,LINDLEY,85013.0,AZ,Internal Medicine,178.0,17.0,9.5505617978,2062435274.0,2016.0
1003982059,FILNER,IVAN,85381.0,AZ,Family Practice,3039.0,97.0,3.1918394208999996,5890688626.0,2016.0
1003995457,ARASHAHI,ROBERT,85206.0,AZ,Internal Medicine,937.0,125.0,13.340448239,8426016320.0,2016.0
1003997479,ARUN,ANURADHA,20902.0,MD,Internal Medicine,2342.0,37.0,1.5798462852000001,7416928973.0,2016.0
1013009729,KABTIMER,HAILU,37075.0,TN,Internal Medicine,8740.0,577.0,6.6018306636,6406970672.0,2016.0
1013015817,DIMARZIO,LISA,21401.0,MD,Internal Medicine,3802.0,45.0,1.1835875855,3870632607.0,2016.0
1013019744,MIRYALA,SHYAMALA,75028.0,TX,Internal Medicine,207.0,12.0,5.7971014492999995,7012917834.0,2016.0
1013022797,MANDEL,YULIYA,1845.0,MA,Family Practice,1020.0,34.0,3.3333333332999997,9931101433.0,2016.0
1013043520,GUDA,SIVAKOTI,19111.0,PA,Internal Medicine,6540.0,201.0,3.0733944954,3577625516.0,2016.0
1013045913,COFFEY,J,73644.0,OK,Family Practice,2633.0,63.0,2.3927079377,9234162132.0,2016.0
1013055706,CHEN,TAMMY,29732.0,SC,Psychiatry,4674.0,0.0,0.0,4880647668.0,2016.0
1013070176,VITAL,JOELLE,11701.0,NY,Internal Medicine,1091.0,0.0,0.0,7113984782.0,2016.0
1013095033,KNAPP,EVE,27405.0,NC,Family Practice,2087.0,12.0,0.5749880211,143290379.0,2016.0
1013110865,LATEEF,KAMRAN,31794.0,GA,Internal Medicine,224.0,16.0,7.1428571429,5597819185.0,2016.0
1013120104,WARREN,JOHN,35404.0,AL,Internal Medicine,18192.0,836.0,4.5954265611,8921186628.0,2016.0
1013133073,BRUNTON,JASON,67042.0,KS,Family Practice,111.0,12.0,10.810810811,7911051123.0,2016.0
1013136803,KERNER,STARLET,67205.0,KS,Family Practice,143.0,13.0,9.0909090909,1759471915.0,2016.0
1013137942,EKATAN,ANDREW,29303.0,SC,Internal Medicine,467.0,36.0,7.7087794433,4981772787.0,2016.0
1013140508,CASEY,JILLENE,98104.0,WA,Family Practice,856.0,75.0,8.761682243,840448296.0,2016.0
1013148832,THORPE,WILLIAM,72117.0,AR,Internal Medicine,224.0,11.0,4.9107142857,7012183155.0,2016.0
1013163146,LEE,ROBERT,60611.0,IL,Physical Medicine and Rehabilitation,507.0,25.0,4.9309664694,2062605637.0,2016.0
1013173723,IYENGAR,SUMATHY,50401.0,IA,Internal Medicine,478.0,33.0,6.903765690399999,4981873569.0,2016.0
1013176312,HEIKS,SAMUEL,54913.0,WI,Family Practice,7235.0,231.0,3.192812716,2365692431.0,2016.0
1013178292,MCCANDLESS,DANIELLE,78411.0,TX,Family Practice,39.0,0.0,0.0,5496820953.0,2016.0
1013202803,WANJERI-HASEN,CHRISTINE,19020.0,PA,Family Practice,2345.0,30.0,1.2793176972,2961722582.0,2016.0
1013212570,KAZMI,AHSAN,7960.0,NJ,Internal Medicine,372.0,11.0,2.9569892473,2062684566.0,2016.0
1013228386,MCELROY,KEVIN,7446.0,NJ,Physical Medicine and Rehabilitation,453.0,286.0,63.134657837,3577731769.0,2016.0
1013276062,BEAUBRUN,ESIRA,7003.0,NJ,Internal Medicine,255.0,32.0,12.549019608,3375843154.0,2016.0
1013276708,BLAIR,GISELLE,30813.0,GA,Family Practice,2304.0,44.0,1.9097222222,3173824448.0,2016.0
1013280965,ZAITOON,MAZEN,46383.0,IN,Internal Medicine,361.0,23.0,6.3711911357,345557815.0,2016.0
1013900976,FOSTER,D. TERRENCE,30281.0,GA,Physical Medicine and Rehabilitation,5056.0,1826.0,36.115506329,840352365.0,2016.0
1013901321,RAMIREZ,SALVACION,21061.0,MD,Internal Medicine,4826.0,135.0,2.7973477000000004,2264625615.0,2016.0
1013905652,MINTZER,CATHARINE,2138.0,MA,Internal Medicine,4921.0,151.0,3.0684820159,1557300829.0,2016.0
1013912625,FAVILLI,LUIS,33812.0,FL,Family Practice,25401.0,2182.0,8.5902129837,8820172406.0,2016.0
1013913102,BANSAL,ANKUSH,33470.0,FL,Internal Medicine,181.0,12.0,6.6298342540999995,6305947649.0,2016.0
1013915321,BURKE,SHELLEY,44053.0,OH,Internal Medicine,917.0,40.0,4.3620501636,42485799.0,2016.0
1013923713,SANTIAGO,RAMON,33617.0,FL,Family Practice,4297.0,111.0,2.5831975797,6507940350.0,2016.0
1013924612,WOOD,HARRISON,97477.0,OR,Internal Medicine,740.0,48.0,6.4864864865,2860595980.0,2016.0
1013925288,NANDIPATI,VIDYA,75251.0,TX,Internal Medicine,141.0,27.0,19.14893617,6507828233.0,2016.0
1013929272,ROSAS,CARLOS,78521.0,TX,General Practice,18493.0,724.0,3.9149948629000004,8820043490.0,2016.0
1013931443,MOORE,FRANKLIN,25309.0,WV,Family Practice,11955.0,148.0,1.2379757424,1153354709.0,2016.0
1013933076,SCHOEN,MALCOLM,10583.0,NY,Internal Medicine,3323.0,58.0,1.7454107734,7810098944.0,2016.0
1013936103,BROD,DELBERT,78731.0,TX,Internal Medicine,2135.0,17.0,0.7962529274,5698853471.0,2016.0
1013938547,MAYER,JONATHAN,33713.0,FL,Family Practice,223.0,64.0,28.69955157,6901955947.0,2016.0
1013940923,MCBRIDE,TIMOTHY,37601.0,TN,Internal Medicine,4348.0,0.0,0.0,7911945886.0,2016.0
1013942358,TELLA,PRABHAV,75039.0,TX,Physical Medicine and Rehabilitation,907.0,508.0,56.008820287,6608961230.0,2016.0
1013944016,DAVIDSON,BENTON,97304.0,OR,Neurology,4238.0,65.0,1.5337423313,4486794104.0,2016.0
1013948900,LE,THANG,76012.0,TX,Internal Medicine,236.0,39.0,16.525423729,3072502046.0,2016.0
1013952746,TSAO,JERRY,77036.0,TX,Family Practice,5166.0,51.0,0.987224158,3870677131.0,2016.0
1013957216,MAMLOUK,LOTFI,45005.0,OH,Internal Medicine,43068.0,1759.0,4.0842388781,5991697112.0,2016.0
1013958248,BISHOP,JAMES,48075.0,MI,Emergency Medicine,191.0,39.0,20.418848168,4183775430.0,2016.0
1013958842,WESTGATE,RANDY,17554.0,PA,Family Practice,6482.0,323.0,4.983029929,1052218930.0,2016.0
1013963073,SHABANIAN,LEILA,92029.0,CA,Internal Medicine,407.0,26.0,6.3882063882,9436191632.0,2016.0
1013963180,MAHER,JAMES,49068.0,MI,Internal Medicine,10049.0,424.0,4.219325306,7618944323.0,2016.0
1013964014,CHARMAN,CHARLES,59901.0,MT,Internal Medicine,156.0,24.0,15.384615385,9436133618.0,2016.0
1013966472,JAFRI,SYED,76104.0,TX,Internal Medicine,382.0,23.0,6.020942408400001,7719990522.0,2016.0
1013968239,SIA,IMELDA,60108.0,IL,Family Practice,11046.0,144.0,1.3036393265000001,4789769068.0,2016.0
1013969997,RIDENOUR,RYAN,16803.0,PA,Family Practice,10232.0,247.0,2.4139953088,8527064500.0,2016.0
1013970086,GILIBERTI,ROCCO,8742.0,NJ,Family Practice,7347.0,190.0,2.5860895604,9739366923.0,2016.0
1013974633,JANSMA,DAVID,15009.0,PA,Family Practice,15963.0,695.0,4.3538182046,4587606850.0,2016.0
1013975168,BREWER,DANIEL,37920.0,TN,Family Practice,474.0,32.0,6.7510548523,9436129145.0,2016.0
1013976117,SCOTT,TRICIA,1863.0,MA,Family Practice,3705.0,210.0,5.6680161943,6305884099.0,2016.0
1013979285,LIM,JAIME,76301.0,TX,Pain Management,3830.0,1572.0,41.044386423,9436067055.0,2016.0
1013980077,WEITMAN,MARK,33179.0,FL,Family Practice,310.0,12.0,3.8709677419,8022039429.0,2016.0
1013980267,ANGLIN,MICKEL,33578.0,FL,Family Practice,5210.0,45.0,0.8637236084000001,9931154192.0,2016.0
1013981778,FILIPIUK,MAREK,60047.0,IL,Internal Medicine,328.0,33.0,10.06097561,3971404534.0,2016.0
1013983121,WHITE,GORDON,78731.0,TX,Neurology,505.0,75.0,14.851485149,6305906983.0,2016.0
1013983642,VEMULA,SURESH,75251.0,TX,Internal Medicine,594.0,84.0,14.141414140999998,3173598380.0,2016.0
1013983782,GOPALANI,SALIM,77008.0,TX,Internal Medicine,13246.0,323.0,2.4384719915,2264490853.0,2016.0
1013985928,GIRONTA,MICHAEL,7834.0,NJ,Internal Medicine,3492.0,91.0,2.6059564719,7214914290.0,2016.0
1013986116,SINGH,AMITABH,89014.0,NV,Psychiatry,801.0,24.0,2.9962546816000004,4385732411.0,2016.0
1013987437,KAKARALA,RADHIKA,48507.0,MI,Internal Medicine,624.0,22.0,3.5256410256,7911046826.0,2016.0
1013988211,BEALS,ROBERTA,79407.0,TX,Family Practice,2732.0,73.0,2.6720351391,5698723468.0,2016.0
1013990233,ZOLLETT,SCOTT,45005.0,OH,Internal Medicine,11817.0,499.0,4.2227299653,7719153964.0,2016.0
1013992015,NEFF,JAMES,78412.0,TX,Internal Medicine,21443.0,885.0,4.1272210045,446359665.0,2016.0
1013992585,KATHAWALA,ZULEKHA,38139.0,TN,Internal Medicine,369.0,27.0,7.3170731707000005,3375533946.0,2016.0
1013993047,MOWERY,DEBORAH,24019.0,VA,Physical Medicine and Rehabilitation,3820.0,1073.0,28.089005236,8628173168.0,2016.0
1013995125,JOSEPH,TEJAL,48430.0,MI,Family Practice,3914.0,263.0,6.7194685742999996,8426062001.0,2016.0
1013998095,ZWERDLINGER,LISA,80461.0,CO,Family Practice,1396.0,112.0,8.0229226361,446291462.0,2016.0
1023004744,PITSENBARGER,KELLY,25918.0,WV,Family Practice,14183.0,572.0,4.0329972502,3577693019.0,2016.0
1023005006,PALLIYIL,PRIYA,30076.0,GA,Internal Medicine,6470.0,55.0,0.8500772798,5799764221.0,2016.0
1023005436,SMITH,WAYNE,49221.0,MI,Internal Medicine,2616.0,40.0,1.5290519878,5698782860.0,2016.0
1023008976,HUSSAIN,NIZAR,22191.0,VA,Internal Medicine,512.0,17.0,3.3203125,3779526850.0,2016.0
1023009727,SELLERS,ROBERT,19522.0,PA,Family Practice,4911.0,168.0,3.4208918754,1557436722.0,2016.0
1023013711,HERNANDEZ,MARIDEL,48080.0,MI,Internal Medicine,7759.0,505.0,6.5085706921,8022032366.0,2016.0
1023014008,MOORE,JEFFREY,76401.0,TX,Internal Medicine,14346.0,837.0,5.834378921,9931194826.0,2016.0
1023017464,KAHN,MARK,11581.0,NY,Internal Medicine,830.0,0.0,0.0,5799752572.0,2016.0
1023018199,ACOSTA,SCOTT,70072.0,LA,Internal Medicine,19137.0,814.0,4.2535402623000005,8527967793.0,2016.0
1023018561,JOHNSON,CARL,31794.0,GA,Family Practice,22137.0,646.0,2.9181912635000002,4688869704.0,2016.0
1023018686,AMIN,SABINA,76120.0,TX,Internal Medicine,390.0,62.0,15.897435897000001,1254239650.0,2016.0
1023019288,PATTERSON,ANTHONY,17201.0,PA,Family Practice,5880.0,85.0,1.4455782312999998,2860428448.0,2016.0
1023029717,NARANG,PARMOD,60050.0,IL,Internal Medicine,7790.0,145.0,1.8613607188999999,1759374408.0,2016.0
1023030764,STARR,SHANNON,70065.0,LA,Family Practice,825.0,42.0,5.090909090899999,941197164.0,2016.0
1023034097,HICKS,JASON,39157.0,MS,Internal Medicine,2279.0,14.0,0.6143045195,9436156551.0,2016.0
1023035466,BHANDARI,REKHA,11237.0,NY,Internal Medicine,10132.0,163.0,1.6087643111,6406748235.0,2016.0
1023036449,LANG,STANLEY,15801.0,PA,Family Practice,5373.0,349.0,6.4954401638,4486798873.0,2016.0
1023043874,DOW,CHARLES,2120.0,MA,General Practice,2233.0,15.0,0.6717420511,840227427.0,2016.0
1023047016,OUGHOURLIAN,AURORE,33150.0,FL,Internal Medicine,5981.0,105.0,1.7555592709999999,1759387087.0,2016.0
1023048477,KINZEL,TERRY,49930.0,MI,Internal Medicine,2841.0,86.0,3.0271031326999998,9931245230.0,2016.0
1023049814,SUCHDEV,PRAVEEN,3060.0,NH,Pain Management,265.0,119.0,44.905660377,1456315597.0,2016.0
1023051539,DUNCAN,ERROL,30606.0,GA,Emergency Medicine,391.0,46.0,11.764705882000001,2961492970.0,2016.0
1023052644,RODRIGUEZ,JORGE,33126.0,FL,Internal Medicine,2738.0,48.0,1.7531044558000002,2163324351.0,2016.0
1023052867,MEHARI,FISEHATSION,20850.0,MD,Internal Medicine,229.0,20.0,8.7336244541,4688677107.0,2016.0
1023055290,DOUGLAS,JEFFREY,37916.0,TN,Internal Medicine,330.0,23.0,6.9696969697,3678585015.0,2016.0
1023059094,MCCLAVE,CHARLES,59101.0,MT,Internal Medicine,292.0,29.0,9.9315068493,6800921867.0,2016.0
1023064938,MEKOYA,ABIY,30901.0,GA,Internal Medicine,622.0,37.0,5.9485530547000005,3678590346.0,2016.0
1023065620,SELAK STANKOVIC,RENATA,91505.0,CA,Internal Medicine,2159.0,19.0,0.8800370542,2769487255.0,2016.0
1023072329,LANG,BRIAN,16502.0,PA,Internal Medicine,10440.0,399.0,3.8218390805,5698709129.0,2016.0
1023074838,MCGARRY,JAMES,2184.0,MA,Internal Medicine,348.0,31.0,8.908045977,9537174743.0,2016.0
1023079225,PATEL,PARAG,48313.0,MI,Family Practice,4129.0,101.0,2.4461128603,345265567.0,2016.0
1023081338,DE LEON,ZORAYDA,7307.0,NJ,Internal Medicine,3908.0,11.0,0.2814738997,3072548486.0,2016.0
1023082914,ZARIF,MYASSAR,11751.0,NY,Neurology,2960.0,162.0,5.472972972999999,1759355639.0,2016.0
1023088713,ARONSON,MARK,3246.0,NH,Family Practice,8136.0,461.0,5.6661750246,3476740499.0,2016.0
1023089133,DIXON-GREVIOUS,DOLORES,60805.0,IL,Internal Medicine,2259.0,112.0,4.9579459938,9133177629.0,2016.0
1023089315,ESTIME,PIERRE,6605.0,CT,Family Practice,4621.0,100.0,2.1640337589,2163474461.0,2016.0
1023089885,KHOND,SONALI,2375.0,MA,Internal Medicine,11878.0,538.0,4.5293820509,8325064447.0,2016.0
1023090834,BATISH,DHARAM,43920.0,OH,Family Practice,3140.0,81.0,2.5796178344,345260105.0,2016.0
1023094901,MOORE,MONTE,83702.0,ID,Physical Medicine and Rehabilitation,3235.0,1981.0,61.236476043,9335115310.0,2016.0
1023095585,CARLSON,VERA,84332.0,UT,Family Practice,10653.0,470.0,4.4119027504,8921057803.0,2016.0
1023097581,SANTOS,ALFREDO,33069.0,FL,General Practice,7511.0,133.0,1.7707362535,3870782048.0,2016.0
1023099033,WILEY,VIRGINIA,21793.0,MD,Family Practice,1379.0,43.0,3.1182015954000004,1153346283.0,2016.0
1023101052,CHAVEZ,VERNON,85364.0,AZ,Internal Medicine,6131.0,317.0,5.1704452781,648165449.0,2016.0
1023106788,SANDLER,BELLA,11375.0,NY,Internal Medicine,4572.0,17.0,0.3718285214,2264431907.0,2016.0
1023106838,NOORI,KHALID,11729.0,NY,Internal Medicine,18828.0,455.0,2.4166135543,6103924378.0,2016.0
1023114733,JONES,CARRI,94063.0,CA,Physical Medicine and Rehabilitation,683.0,320.0,46.852122987,3476677592.0,2016.0
1023119112,AGGARWAL,ALKA,48183.0,MI,Family Practice,5548.0,259.0,4.6683489546,2567613243.0,2016.0
1023119526,EINSIG,HAROLD,19606.0,PA,Physical Medicine and Rehabilitation,167.0,47.0,28.143712575,2163680026.0,2016.0
1023125234,THOMPSON,ELIZABETH,8060.0,NJ,Emergency Medicine,233.0,64.0,27.467811159,8325075435.0,2016.0
1023127123,STEWART,VANESSA,30901.0,GA,Internal Medicine,14690.0,576.0,3.9210347175,648247197.0,2016.0
1023129608,ROBERTS,JOSEPH,38901.0,MS,Internal Medicine,49124.0,3105.0,6.3207393535000005,8426955964.0,2016.0
1023133469,RANA,LUBNA,23111.0,VA,Family Practice,238.0,12.0,5.0420168067,2466553789.0,2016.0
1023141157,MACRI,GEORGETA,48085.0,MI,Internal Medicine,603.0,50.0,8.2918739635,1850492273.0,2016.0
1023142056,LUDWIG,DAVID,10021.0,NY,Psychiatry,330.0,0.0,0.0,8123205317.0,2016.0
1023151313,WORDLAW-WATKINS,SANDRA,30349.0,GA,Family Practice,3854.0,52.0,1.349247535,6901930908.0,2016.0
1023159027,COLON-DUENO,JOSE,736.0,PR,Physical Medicine and Rehabilitation,531.0,46.0,8.6629001883,749359008.0,2016.0
1023171717,GIANARELLI,TODD,59474.0,MT,Family Practice,764.0,52.0,6.8062827225,6406745413.0,2016.0
1023180726,GALANTE,LORENZO,6473.0,CT,Internal Medicine,16384.0,484.0,2.9541015625,2769401140.0,2016.0
1023183522,GIL DE RUBIO,EDUARDO,98001.0,WA,Internal Medicine,248.0,23.0,9.2741935484,2264499979.0,2016.0
1023191061,QURESHI,ABDUL,26757.0,WV,Emergency Medicine,184.0,18.0,9.7826086957,9830132281.0,2016.0
1023194800,EBY,KERRY,59901.0,MT,Internal Medicine,471.0,114.0,24.203821656,4880664226.0,2016.0
1023204211,SIMON,JIN-HWA,92663.0,CA,Internal Medicine,323.0,26.0,8.0495356037,1153488630.0,2016.0
1023210028,HURTADO,ADRIANA,33012.0,FL,Family Practice,4342.0,71.0,1.6351911561,2961548680.0,2016.0
1023216835,CESTERO,RICARDO,85029.0,AZ,Internal Medicine,311.0,31.0,9.9678456592,1759452766.0,2016.0
1023218757,PADUA,ALAN,63128.0,MO,Family Practice,10585.0,501.0,4.7331128956,4587789581.0,2016.0
1023225968,GESSNER,JONATHAN,17857.0,PA,Family Practice,3969.0,106.0,2.6706979088,2769576941.0,2016.0
1023227063,DAVILA,SAMUEL,76109.0,TX,Internal Medicine,6311.0,381.0,6.0370781176,1759448913.0,2016.0
1023227162,ATKINSON,PAUL,54481.0,WI,Neurology,2591.0,0.0,0.0,1052485620.0,2016.0
1023229457,CHESTNEY,DARYL,64132.0,MO,Internal Medicine,257.0,13.0,5.0583657588,5597881821.0,2016.0
1023229770,MCSHARMA,JAYA,71291.0,LA,Family Practice,291.0,39.0,13.402061856,3779630504.0,2016.0
1023234812,EL HENAWI,IGLAL,92545.0,CA,General Practice,7032.0,683.0,9.712741752000001,5890838106.0,2016.0
1023236809,SWAMY,ALAGIRI,38119.0,TN,Internal Medicine,125.0,0.0,0.0,1153488614.0,2016.0
1023242625,BOWERS,MELISSA,29906.0,SC,Family Practice,875.0,104.0,11.885714285999999,4587980867.0,2016.0
1023246774,POTHULA,NAGESWAR,48532.0,MI,Internal Medicine,184.0,20.0,10.869565217,5294974473.0,2016.0
1023247368,WASHBURN,KATIE,67208.0,KS,Internal Medicine,156.0,11.0,7.0512820513,1658537634.0,2016.0
1023258274,LUKOSE,LUDY,30040.0,GA,Internal Medicine,6326.0,119.0,1.8811255138,6507902095.0,2016.0
1023259090,TARANTO,KATIE,70433.0,LA,Internal Medicine,5981.0,133.0,2.22370841,3173788932.0,2016.0
1023268547,KONG,BRIAN,92663.0,CA,Internal Medicine,264.0,23.0,8.7121212121,9133307796.0,2016.0
